Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,592,SSI PRIVILEGE,9848089,Chornomorsk,Indonesia,Wheat,"59,010",25-Dec-2022,3-Jan-2023,lower-middle income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,593,ALANDA STAR,9189677,Chornomorsk,Egypt,Wheat,"30,800",26-Dec-2022,4-Jan-2023,lower-middle income,Barbados,Middle East & North Africa,Africa,developing
Outbound,594,EUROCHAMPION,9895903,Yuzhny/Pivdennyi,India,Sunflower oil,"45,000",26-Dec-2022,31-Dec-2022,lower-middle income,Malta,South Asia,Asia-Pacific,developing
Outbound,595,KIRAN ADRIATIC,9653185,Chornomorsk,China,Corn,"55,000",27-Dec-2022,31-Dec-2022,upper-middle-income,Malta,East Asia & Pacific,Asia-Pacific,developing
Outbound,596,LUGANO,9132662,Chornomorsk,Italy,Corn,"27,000",27-Dec-2022,5-Jan-2023,high-income,Cook Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,597,MAROULIO S,9493511,Chornomorsk,China,Corn,"63,367",27-Dec-2022,31-Dec-2022,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,598,MONTARA,9234202,Odesa,Tunisia,Corn,"32,000",27-Dec-2022,6-Jan-2023,lower-middle income,Barbados,Middle East & North Africa,Africa,developing
Outbound,599,PLEVNE,9340908,Odesa,Italy,Sunflower oil,"7,150",27-Dec-2022,31-Dec-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,600,GREEN K-MAX2,9838060,Yuzhny/Pivdennyi,China,Corn,"71,970",28-Dec-2022,7-Jan-2023,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,601,INOI,9400928,Chornomorsk,Italy,Corn,"17,004",28-Dec-2022,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound +,601,INOI,9400928,Chornomorsk,Italy,Wheat,"7,030",28-Dec-2022,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound +,601,INOI,9400928,Chornomorsk,Italy,Soya beans,"6,700",28-Dec-2022,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,602,LUCKY,9037305,Odesa,Spain,Sunflower meal,"5,500",28-Dec-2022,6-Jan-2023,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,603,SUMMER LADY,9184938,Yuzhny/Pivdennyi,Spain,Corn,"53,500",28-Dec-2022,5-Jan-2023,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound +,603,SUMMER LADY,9184938,Yuzhny/Pivdennyi,Spain,Wheat,"9,900",28-Dec-2022,5-Jan-2023,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,604,SUPER MARTINELLI,9542831,Odesa,Spain,Wheat,"33,500",28-Dec-2022,,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,605,VALSAMITIS,9629823,Chornomorsk,Spain,Wheat,"15,872",28-Dec-2022,5-Jan-2023,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound +,605,VALSAMITIS,9629823,Chornomorsk,Spain,Corn,"16,580",28-Dec-2022,5-Jan-2023,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,606,ZEINAB,9070424,Chornomorsk,Tunisia,Wheat,"25,000",28-Dec-2022,7-Jan-2023,lower-middle income,Tuvalu,Middle East & North Africa,Africa,developing
Outbound,607,AILEEN,9214252,Chornomorsk,Morocco,Sunflower meal,"12,300",29-Dec-2022,6-Jan-2023,lower-middle income,Palau,Middle East & North Africa,Africa,developing
Outbound,608,NEW VICTORY,9159050,Yuzhny/Pivdennyi,Tunisia,Barley,"23,500",29-Dec-2022,7-Jan-2023,lower-middle income,Belize,Middle East & North Africa,Africa,developing
Outbound,609,PANJALI TEYMUROV,9575333,Chornomorsk,Tunisia,Vegetable oil,"3,300",29-Dec-2022,7-Jan-2023,lower-middle income,Liberia,Middle East & North Africa,Africa,developing
Outbound +,609,PANJALI TEYMUROV,9575333,Chornomorsk,Tunisia,Soya oil,"2,970",29-Dec-2022,7-Jan-2023,lower-middle income,Liberia,Middle East & North Africa,Africa,developing
